OrderId,UserId,MenuItemId,MenuItemName,Quantity,UnitPrice,TotalPrice,OrderDate
98ec27f3-fffd-42cb-9a19-473430cba556,1f2b14f7-2314-41d1-dc2e-08dd88bf3c91,30000000-0000-0000-0000-000000000001,Beverage Item 1,3,6,18,2025-05-03
98ec27f3-fffd-42cb-9a19-473430cba556,1f2b14f7-2314-41d1-dc2e-08dd88bf3c91,30000000-0000-0000-0000-000000000028,Extra Item 4,2,9,18,2025-05-03
98ec27f3-fffd-42cb-9a19-473430cba556,1f2b14f7-2314-41d1-dc2e-08dd88bf3c91,30000000-0000-0000-0000-000000000019,Pizza Item 1,4,6,24,2025-05-03
5d029bfd-c040-4b37-ac31-9123d88efc3a,304b83d1-135d-4a9d-1163-08dd9e84e078,30000000-0000-0000-0000-000000000002,Beverage Item 2,1,7,7,2025-05-29
5d029bfd-c040-4b37-ac31-9123d88efc3a,304b83d1-135d-4a9d-1163-08dd9e84e078,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-05-29
5953f2ec-2fee-481a-bc35-02b2bbed4f0f,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000004,Beverage Item 4,1,9,9,2025-05-30
5953f2ec-2fee-481a-bc35-02b2bbed4f0f,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000005,Beverage Item 5,2,10,20,2025-05-30
5953f2ec-2fee-481a-bc35-02b2bbed4f0f,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000006,Beverage Item 6,1,11,11,2025-05-30
5953f2ec-2fee-481a-bc35-02b2bbed4f0f,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000014,Burger Item 2,2,7,14,2025-05-30
96f8d268-c8ba-4839-ae1a-c244a011a932,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000004,Beverage Item 4,1,9,9,2025-05-30
96f8d268-c8ba-4839-ae1a-c244a011a932,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000005,Beverage Item 5,2,10,20,2025-05-30
96f8d268-c8ba-4839-ae1a-c244a011a932,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000006,Beverage Item 6,1,11,11,2025-05-30
96f8d268-c8ba-4839-ae1a-c244a011a932,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000014,Burger Item 2,2,7,14,2025-05-30
4ef7a8b2-e0af-4dc4-972d-06ccf76830bc,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000004,Beverage Item 4,1,9,9,2025-05-30
4ef7a8b2-e0af-4dc4-972d-06ccf76830bc,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000005,Beverage Item 5,2,10,20,2025-05-30
4ef7a8b2-e0af-4dc4-972d-06ccf76830bc,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000006,Beverage Item 6,1,11,11,2025-05-30
4ef7a8b2-e0af-4dc4-972d-06ccf76830bc,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000014,Burger Item 2,2,7,14,2025-05-30
51fe09e5-d49e-4cc1-816f-6a1ee8720ad7,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000004,Beverage Item 4,1,9,9,2025-05-30
51fe09e5-d49e-4cc1-816f-6a1ee8720ad7,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000005,Beverage Item 5,2,10,20,2025-05-30
51fe09e5-d49e-4cc1-816f-6a1ee8720ad7,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000006,Beverage Item 6,1,11,11,2025-05-30
51fe09e5-d49e-4cc1-816f-6a1ee8720ad7,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000014,Burger Item 2,2,7,14,2025-05-30
fe3f82c1-7945-4d45-a24f-54c24f530d6e,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000004,Beverage Item 4,1,9,9,2025-05-30
fe3f82c1-7945-4d45-a24f-54c24f530d6e,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000005,Beverage Item 5,2,10,20,2025-05-30
fe3f82c1-7945-4d45-a24f-54c24f530d6e,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000006,Beverage Item 6,1,11,11,2025-05-30
fe3f82c1-7945-4d45-a24f-54c24f530d6e,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000014,Burger Item 2,2,7,14,2025-05-30
6df4d204-41d4-4d38-815f-bd1ca3b3d786,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000004,Beverage Item 4,1,9,9,2025-05-30
6df4d204-41d4-4d38-815f-bd1ca3b3d786,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000005,Beverage Item 5,2,10,20,2025-05-30
6df4d204-41d4-4d38-815f-bd1ca3b3d786,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000006,Beverage Item 6,1,11,11,2025-05-30
6df4d204-41d4-4d38-815f-bd1ca3b3d786,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000014,Burger Item 2,2,7,14,2025-05-30
f6b19514-3599-4bc4-97d2-87ee6d62628f,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-05-30
f6b19514-3599-4bc4-97d2-87ee6d62628f,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000002,Beverage Item 2,1,7,7,2025-05-30
f6b19514-3599-4bc4-97d2-87ee6d62628f,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000004,Beverage Item 4,1,9,9,2025-05-30
3e7cb915-3a96-461b-9d13-8a8a322e330f,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-05-30
3e7cb915-3a96-461b-9d13-8a8a322e330f,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000002,Beverage Item 2,1,7,7,2025-05-30
3e7cb915-3a96-461b-9d13-8a8a322e330f,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000004,Beverage Item 4,1,9,9,2025-05-30
aa9bbb53-842b-4715-8796-c4270efbaecf,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-05-30
aa9bbb53-842b-4715-8796-c4270efbaecf,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000002,Beverage Item 2,1,7,7,2025-05-30
aa9bbb53-842b-4715-8796-c4270efbaecf,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000004,Beverage Item 4,1,9,9,2025-05-30
5a19b3fb-4db1-4869-aea9-7ae69f80c8d2,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-05-30
5a19b3fb-4db1-4869-aea9-7ae69f80c8d2,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000002,Beverage Item 2,1,7,7,2025-05-30
5a19b3fb-4db1-4869-aea9-7ae69f80c8d2,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000004,Beverage Item 4,1,9,9,2025-05-30
8dbd2cb9-0ce9-4e38-9a05-452e8ea0b588,1f2b14f7-2314-41d1-dc2e-08dd88bf3c91,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-05-30
4b3fb6d8-bd90-4584-8c86-17913d1373f8,1f2b14f7-2314-41d1-dc2e-08dd88bf3c91,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-05-30
d2dde591-0b92-44ca-ab5a-46a47d290345,2970781a-10c5-46a7-dccf-08dd9f9723b0,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-06-01
d2dde591-0b92-44ca-ab5a-46a47d290345,2970781a-10c5-46a7-dccf-08dd9f9723b0,30000000-0000-0000-0000-000000000002,Beverage Item 2,1,7,7,2025-06-01
ce94b014-35db-4777-a54f-6bea3ecf77a2,2970781a-10c5-46a7-dccf-08dd9f9723b0,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-06-01
ce94b014-35db-4777-a54f-6bea3ecf77a2,2970781a-10c5-46a7-dccf-08dd9f9723b0,30000000-0000-0000-0000-000000000002,Beverage Item 2,1,7,7,2025-06-01
ac3b6b93-df0a-4e62-b332-41f5d1d0cf0d,2970781a-10c5-46a7-dccf-08dd9f9723b0,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-06-01
ac3b6b93-df0a-4e62-b332-41f5d1d0cf0d,2970781a-10c5-46a7-dccf-08dd9f9723b0,30000000-0000-0000-0000-000000000002,Beverage Item 2,1,7,7,2025-06-01
fbdb5de3-df76-40f9-9a31-68e7047549c4,2970781a-10c5-46a7-dccf-08dd9f9723b0,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-06-01
fbdb5de3-df76-40f9-9a31-68e7047549c4,2970781a-10c5-46a7-dccf-08dd9f9723b0,30000000-0000-0000-0000-000000000002,Beverage Item 2,1,7,7,2025-06-01
12952c3e-9c24-4827-adad-64544760a8a3,2970781a-10c5-46a7-dccf-08dd9f9723b0,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-06-01
12952c3e-9c24-4827-adad-64544760a8a3,2970781a-10c5-46a7-dccf-08dd9f9723b0,30000000-0000-0000-0000-000000000002,Beverage Item 2,1,7,7,2025-06-01
3354f447-9487-4834-99a1-f4e8ae00e72b,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-06-02
3354f447-9487-4834-99a1-f4e8ae00e72b,f1558493-1c11-49ab-d940-08dd85c82534,30000000-0000-0000-0000-000000000014,Burger Item 2,1,7,7,2025-06-02
c2494348-bd69-4f1b-84cf-cf555306ff24,1f2b14f7-2314-41d1-dc2e-08dd88bf3c91,30000000-0000-0000-0000-000000000001,Beverage Item 1,1,6,6,2025-09-18
